R_max,Roff_max,W_max,S_max,tau_Roff,tau_R,tau_W,tau_S,alpha_Roff,alpha_R,alpha_W,beta_R,beta_W,alpha_S,gamma_R,gamma_Roff,gamma_W,gamma_S,k1_Roff,k2_Roff,k1_S,k2_S,stp_max,stp_min,stp_r,tau_stpW,h_max,h_min,omega_max,omega_min,theta_R,theta_W,tau_stpup,tau_stpdown,tau_hup,tau_hdown,tau_omega,tau_stim,g_Roff2R,g_R2Roff,g_S2W,g_W2S,g_W2R,g_R2W,g_W2Roff,g_Roff2W,g_Roff2S,tau_CR,tau_CRf,tau_CRoff,tau_CW,tau_CS,delta_update,Score
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,0.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,557.2222222222223,0.6,0.2,0.01,0.003,1.5,1.5,400.0,400.0,600.0,700.0,5.0,10.0,-2.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,3.8888888888888875,67.08245869607696
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,0.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,307.22222222222223,0.6,0.2,0.01,0.003,1.5,1.5,400.0,400.0,600.0,700.0,5.0,10.0,-2.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,4.166666666666665,66.71770182929622
5.0,5.0,5.5,5.0,1.0,1.0,25.0,10.0,0.5,0.5,0.5,-0.5,-0.3,0.25,4.0,5.0,5.0,4.0,0.8,7.0,0,-1.5,1.2,-0.8,0.0,114.44444444444446,0.6,0.2,0.01,0.003,1.5,1.5,400.0,400.0,600.0,700.0,5.0,10.0,-2.0,-5.0,-2.0,-2.0,0.0,0.0,0,0,0,10.0,1,10.0,10.0,10.0,4.444444444444443,64.6291194879538
